"field_study_legacy_id";"title";"field_full_name";"field_contact";"field_investigator";"field_target_number_participants";"field_design";"field_design_other";"field_design_target";"field_target_other";"field_selection_criteria";"field_age_max";"field_age_min";"field_gender";"field_study_country";"field_target_number_biosamples";"field_biosamples_collected";"field_biosamples_tissues";"field_biosamples_collected_other";"field_gwas_analysis";"field_gwas_number";"field_access";"field_access_other";"field_status_start";"field_status_end";"field_p3g_observatory_link"
1;"UKB";"UK Biobank: a large-scale prospective epidemiological resource";"Tim Peakman (UK Biobank)|Andrew Trehearne (UK Biobank)|Tim Sprosen (UK Biobank)";"Paul Elliott (Imperial College London)|John Gallacher (Cardiff University)|Paul Burton (University of Leicester)|Jill Pell (University of Glasgow)|Valerie Beral (University of Oxford)|Tim Sprosen (University of Oxford)|Tim Peakman (UK Biobank)|Alan Silman (University of Manchester)|Rory Collins (University of Oxford)";"500000";"cohort_study";;"individuals";;"age";"69";"40";;"GBR";"500000";"blood, urine";;;;"500000";"biological_samples, data";;"2003";"2040";"http://www.p3gobservatory.org/catalogue.htm?studyId=30"
4;"LifeLines";"LifeLines Cohort Study & Biobank";"Bruce H.R. Wolffenbuttel (University Medical Centre Groningen)";"Bruce H.R. Wolffenbuttel (University Medical Centre Groningen)";"165000";"cohort_study";"Cell lines";"families|individuals";;"age|country|other";"50";"25";;"NLD";"165000";"blood";;;"yes_later";"165000";"biological_samples, data";;"2004";"2036";"http://www.p3gobservatory.org/catalogue.htm?studyId=99"
"3";"LifeGene";"LifeGene";"Helena Andersson (Karolinska Institute)|Jan-Eric Litton (Karolinska Institute)";"Nancy Pedersen (Karolinska Institute)|Jan-Eric Litton (Karolinska Institute)";"500000";"cohort_study";"Buccal cells";"families";;"age|country";"55";;;"SWE";;"blood, others";;;;;;;"2009";;"http://www.p3gobservatory.org/catalogue.htm?studyId=21"
2;"KORA-gen";"KORA-gen - Cooperative health research in the Region of Augsburg";"Erich Wichmann (Institute of Epidemiology)|Christian Gieger (Institute of Epidemiology)";"Erich Wichmann (Institute of Epidemiology)";"18000";"cohort_study";"Cell lines";"individuals";;"age|country|other";"74";"25";;"DEU";;"blood, others";;;"yes_currently";;"biological_samples, data";;"1983";"2008";"http://www.p3gobservatory.org/catalogue.htm?studyId=86"
"5";"HUNT-2";"Nord-Trøndelag Health Study (The)";"Kristian Hveem (HUNT Research Centre)|Jostein Holmen (HUNT Research Centre)";"Kristian Hveem (HUNT Research Centre)|Jostein Holmen (HUNT Research Centre)";"66140";"cohort_study";"For urine, Micro-aluminuria was measured in 10 000";"individuals";;"age|country";;"13";;"NOR";"65000";"blood, others, urine";;;;"65000";"biological_samples, data";;"1995";"1997";"http://www.p3gobservatory.org/catalogue.htm?studyId=78"
